trial,target_direction,target_frequency,response_direction,response_frequencyrt,correct,timestamp
1,right,15,left,10,5.333145541604608,False,788277.040391875
2,left,10,right,15,7.649874541675672,False,788291.757092416
3,left,10,right,15,2.2997610417660326,False,788301.12365125
4,right,15,left,10,2.600077125011012,False,788310.790457041
5,right,10,left,15,3.9666578749893233,False,788321.823887583
6,right,15,left,10,13.316664375015534,False,788342.207039875
7,left,10,right,15,1.5665702500846237,False,788350.840250833
8,left,10,right,15,6.166488458402455,False,788364.073688083
9,left,10,right,15,2.2995989999035373,False,788373.440296208
10,left,10,left,10,5.116811208194122,True,788385.623595791
