trial,target_direction,target_frequency,response_direction,response_frequency,rt,correct,timestamp
1,left,15,right,10,9.416470999945886,False,788520.056698083
2,left,15,right,10,2.39949066657573,False,788529.523478291
3,left,15,right,10,3.9663643332896754,False,788540.556883041
4,right,10,left,15,3.866374499979429,False,788551.490191208
5,right,15,left,10,2.417159416829236,False,788560.974183625
6,left,10,right,15,2.4000202915631235,False,788570.440223708
7,right,15,left,10,4.383215583395213,False,788581.890184833
8,left,15,left,15,4.600047374959104,True,788593.556793708
9,right,10,left,15,7.744985958444886,False,788608.373514916
10,right,15,right,15,1.6665163333527744,True,788617.106740375
