timestamp,event,trial
790036.860326291,trial start,1
790038.910992458,stimulus onset,1
790039.910867708,decode start,1
790040.360885625,decode end,1
790040.360919,trial end,1
790045.394911541,trial start,2
790047.427707333,stimulus onset,2
790048.427661541,decode start,2
790050.244097333,decode end,2
790050.244150291,trial end,2
790055.278523,trial start,3
790057.310991625,stimulus onset,3
790058.310909875,decode start,3
790061.194162333,decode end,3
790061.194171541,trial end,3
790066.228430083,trial start,4
790068.261022375,stimulus onset,4
790069.260998333,decode start,4
790070.860869458,decode end,4
790070.860900208,trial end,4
790075.89495525,trial start,5
790077.930191458,stimulus onset,5
790078.961040958,decode start,5
790081.510972416,decode end,5
790081.510982458,trial end,5
790086.54496525,trial start,6
790088.577654125,stimulus onset,6
790089.577598583,decode start,6
790090.144361166,decode end,6
790090.144369583,trial end,6
790095.178065291,trial start,7
790097.211068833,stimulus onset,7
790098.211011666,decode start,7
790102.344274583,decode end,7
790102.344282916,trial end,7
790107.378219416,trial start,8
790109.411018875,stimulus onset,8
790110.4110395,decode start,8
790115.911008,decode end,8
790115.911016833,trial end,8
790120.945172,trial start,9
790122.97782525,stimulus onset,9
790123.977703833,decode start,9
790127.460993041,decode end,9
790127.461003916,trial end,9
790132.495311875,trial start,10
790134.52780425,stimulus onset,10
790135.527650583,decode start,10
790138.694440416,decode end,10
790138.694450833,trial end,10
