EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Counter,Timestamp
-62642.91015625,-62572.01171875,-62890.03125,-62758.24609375,-62996.24609375,-62947.7890625,-62732.8515625,-62745.4609375,0.30126953125,0.93017578125,0.5693359375,-0.09146341681480408,2.4390244483947754,0.15243902802467346,60.0,3844549.0,791694.426257833
-62705.671875,-62634.86328125,-62952.97265625,-62821.0078125,-63058.921875,-63010.28125,-62795.70703125,-62807.953125,0.30126953125,0.9296875,0.567626953125,-0.18292683362960815,2.378048896789551,0.24390244483947754,60.0,3844550.0,791694.42628225
-62570.40234375,-62499.58984375,-62817.51953125,-62685.82421875,-62923.6484375,-62875.3671875,-62660.43359375,-62672.59375,0.3017578125,0.9296875,0.5703125,-0.21341463923454285,2.5304877758026123,0.24390244483947754,60.0,3844551.0,791694.426297166
-62481.3515625,-62410.62890625,-62728.29296875,-62596.59765625,-62834.41796875,-62786.23046875,-62570.84765625,-62583.453125,0.30224609375,0.929931640625,0.568359375,-0.12195122241973877,2.5,0.24390244483947754,60.0,3844552.0,791694.426311541
-62615.28125,-62544.7421875,-62862.13671875,-62730.26171875,-62968.3515625,-62920.16015625,-62705.2265625,-62717.5625,0.3017578125,0.93017578125,0.5703125,-0.09146341681480408,2.5,0.3353658616542816,60.0,3844553.0,791694.426325708
-62717.1171875,-62646.84375,-62964.05859375,-62832.36328125,-63070.1875,-63022.17578125,-62807.0625,-62819.578125,0.301513671875,0.93115234375,0.57275390625,-0.18292683362960815,2.4390244483947754,0.27439025044441223,60.0,3844554.0,791694.429750666
-62597.58203125,-62527.3046875,-62844.5234375,-62713.2734375,-62950.73828125,-62902.7265625,-62687.61328125,-62699.953125,0.30419921875,0.930908203125,0.5712890625,-0.27439025044441223,2.378048896789551,0.18292683362960815,60.0,3844555.0,791694.432352208
-62483.9453125,-62413.58203125,-62730.88671875,-62599.546875,-62837.1015625,-62788.91015625,-62573.62109375,-62586.2265625,0.302978515625,0.9306640625,0.569091796875,-0.24390244483947754,2.5,0.3048780560493469,60.0,3844556.0,791694.434835083
-62589.53515625,-62519.2578125,-62836.921875,-62705.31640625,-62943.2265625,-62894.94921875,-62679.38671875,-62691.90625,0.303955078125,0.92919921875,0.567138671875,-0.18292683362960815,2.4695122241973877,0.4573170840740204,60.0,3844557.0,791694.43735725
-62717.20703125,-62646.39453125,-62964.41796875,-62832.71875,-63071.16796875,-63022.53125,-62807.23828125,-62819.66796875,0.302734375,0.928955078125,0.566162109375,-0.21341463923454285,2.4695122241973877,0.3658536672592163,60.0,3844558.0,791694.440025833
-62637.8125,-62567.18359375,-62884.93359375,-62753.1484375,-62991.328125,-62942.9609375,-62727.66796875,-62740.18359375,0.302001953125,0.927490234375,0.569091796875,-0.3048780560493469,2.4390244483947754,0.3048780560493469,60.0,3844559.0,791694.440042916
-62502.5390625,-62432.265625,-62749.66015625,-62617.96484375,-62855.96484375,-62807.6875,-62592.39453125,-62604.64453125,0.303955078125,0.92626953125,0.570556640625,-0.21341463923454285,2.5304877758026123,0.27439025044441223,60.0,3844560.0,791694.442292916
-62572.63671875,-62502.2734375,-62820.0234375,-62688.05859375,-62926.328125,-62877.9609375,-62662.3125,-62675.0078125,0.30419921875,0.9287109375,0.57177734375,-0.09146341681480408,2.5,0.27439025044441223,60.0,3844561.0,791694.444778291
-62723.9140625,-62653.63671875,-62971.03515625,-62839.42578125,-63077.42578125,-63029.328125,-62813.85546875,-62826.1953125,0.30419921875,0.929443359375,0.5712890625,-0.060975611209869385,2.4390244483947754,0.12195122241973877,60.0,3844562.0,791694.447328166
-62679.12109375,-62608.66796875,-62926.328125,-62794.72265625,-63032.6328125,-62984.7109375,-62769.15234375,-62781.22265625,0.30224609375,0.927734375,0.5693359375,-0.12195122241973877,2.4695122241973877,0.12195122241973877,60.0,3844563.0,791694.449870875
-62517.91796875,-62447.375,-62765.3984375,-62633.69921875,-62871.79296875,-62823.51171875,-62607.86328125,-62620.2890625,0.303466796875,0.927734375,0.56689453125,-0.09146341681480408,2.408536672592163,0.060975611209869385,60.0,3844564.0,791694.480698125
-62538.9296875,-62468.8359375,-62786.23046875,-62654.7109375,-62893.16015625,-62844.5234375,-62629.05078125,-62641.8359375,0.30322265625,0.928955078125,0.56494140625,-0.12195122241973877,2.378048896789551,0.09146341681480408,60.0,3844565.0,791694.480723208
-62700.48828125,-62630.03515625,-62947.7890625,-62816.1796875,-63054.359375,-63005.90234375,-62790.609375,-62803.125,0.302978515625,0.930908203125,0.570556640625,-0.21341463923454285,2.408536672592163,0.12195122241973877,60.0,3844566.0,791694.4807385
-62702.0078125,-62631.19921875,-62949.12890625,-62817.1640625,-63055.5234375,-63006.9765625,-62791.94921875,-62804.46875,0.3037109375,0.930419921875,0.569580078125,-0.24390244483947754,2.2865853309631348,0.030487805604934692,60.0,3844567.0,791694.483601625
-62542.05859375,-62471.25,-62789.0,-62657.125,-62895.6640625,-62846.7578125,-62631.734375,-62644.16015625,0.302001953125,0.930419921875,0.571044921875,-0.27439025044441223,2.317073106765747,0.060975611209869385,60.0,3844568.0,791694.486714083
-62526.5,-62455.9609375,-62773.62109375,-62641.92578125,-62880.10546875,-62831.37890625,-62616.4453125,-62629.05078125,0.304931640625,0.927734375,0.572509765625,-0.24390244483947754,2.317073106765747,0.18292683362960815,60.0,3844569.0,791694.486734125
