timestamp,event,trial
20162.807925501,trial start,1
20164.838616346,stimulus onset,1
20184.821497223,trial end,1
20191.859086449,trial start,2
20193.888059488,stimulus onset,2
20213.870978252,trial end,2
20220.909080517,trial start,3
20222.937645057,stimulus onset,3
20242.920762238,trial end,3
20249.958117824,trial start,4
20251.987196648,stimulus onset,4
20271.970340833,trial end,4
20279.008128101,trial start,5
20281.036763055,stimulus onset,5
20301.019626071,trial end,5
20308.057151395,trial start,6
20310.086238161,stimulus onset,6
20330.069287615,trial end,6
20337.107123076,trial start,7
20339.135766819,stimulus onset,7
20359.118844057,trial end,7
20366.157199808,trial start,8
20368.185349601,stimulus onset,8
20388.168437005,trial end,8
20395.202078771,trial start,9
20397.234943482,stimulus onset,9
20417.218058522,trial end,9
20424.256301138,trial start,10
20426.284464073,stimulus onset,10
20446.26759252,trial end,10
